Water 💧 + Water 💧 = Lake 🌊
Water 💧 + Fire 🔥 = Steam 💨
Water 💧 + Wind 🌬️ = Wave 🌊
Water 💧 + Earth 🌍 = Plant 🌱
Fire 🔥 + Fire 🔥 = Volcano 🌋
Fire 🔥 + Wind 🌬️ = Smoke 💨
Fire 🔥 + Earth 🌍 = Lava 🌋
Wind 🌬️ + Wind 🌬️ = Tornado 🌪️
Wind 🌬️ + Earth 🌍 = Dust 🌫️
Earth 🌍 + Earth 🌍 = Mountain 🏔️
Water 💧 + Lake 🌊 = Ocean 🌊
Water 💧 + Steam 💨 = Cloud ☁️
Water 💧 + Wave 🌊 = Tsunami 🌊
Water 💧 + Plant 🌱 = Swamp 🐊
Water 💧 + Volcano 🌋 = Lava 🌋
Water 💧 + Smoke 💨 = Fog 🌫️
Water 💧 + Lava 🌋 = Stone 🪨
Water 💧 + Tornado 🌪️ = Tsunami 🌊
Water 💧 + Dust 🌫️ = Mud 💩
Water 💧 + Mountain 🏔️ = Lake 🌊
Fire 🔥 + Lake 🌊 = Volcano 🌋
Fire 🔥 + Steam 💨 = Engine 🚗
Fire 🔥 + Wave 🌊 = Steam 💨
Fire 🔥 + Plant 🌱 = Smoke 💨
Fire 🔥 + Volcano 🌋 = Lava 🌋
Fire 🔥 + Smoke 💨 = Volcano 🌋
Fire 🔥 + Lava 🌋 = Volcano 🌋
Fire 🔥 + Tornado 🌪️ = Volcano 🌋
Fire 🔥 + Dust 🌫️ = Ash 🌋
Fire 🔥 + Mountain 🏔️ = Volcano 🌋
Wind 🌬️ + Lake 🌊 = Storm ⛈️
Wind 🌬️ + Steam 💨 = Cloud ☁️
Wind 🌬️ + Wave 🌊 = Storm ⛈️
Wind 🌬️ + Plant 🌱 = Dandelion 🌼
Wind 🌬️ + Volcano 🌋 = Eruption 🌋
Wind 🌬️ + Smoke 💨 = Cloud ☁️
Wind 🌬️ + Lava 🌋 = Volcano 🌋
Wind 🌬️ + Tornado 🌪️ = Tornado 🌪️
Wind 🌬️ + Dust 🌫️ = Sandstorm 🌪️
Wind 🌬️ + Mountain 🏔️ = Avalanche 🌨️
Earth 🌍 + Lake 🌊 = Swamp 🐊
Earth 🌍 + Steam 💨 = Mud 💩
Earth 🌍 + Wave 🌊 = Sand 🏖️
Earth 🌍 + Plant 🌱 = Tree 🌳
Earth 🌍 + Volcano 🌋 = Lava 🌋
Earth 🌍 + Smoke 💨 = Volcano 🌋
Earth 🌍 + Lava 🌋 = Stone 🪨
Earth 🌍 + Tornado 🌪️ = Dust 🌫️
Earth 🌍 + Dust 🌫️ = Planet 🪐
Earth 🌍 + Mountain 🏔️ = Volcano 🌋
Lake 🌊 + Lake 🌊 = Ocean 🌊
Lake 🌊 + Steam 💨 = Cloud ☁️
Lake 🌊 + Wave 🌊 = Tsunami 🌊
Lake 🌊 + Plant 🌱 = Lily 🌸
Lake 🌊 + Volcano 🌋 = Island 🏝️
Lake 🌊 + Smoke 💨 = Fog 🌫️
Lake 🌊 + Lava 🌋 = Volcano 🌋
Lake 🌊 + Tornado 🌪️ = Tsunami 🌊
Lake 🌊 + Dust 🌫️ = Mud 💩
Lake 🌊 + Mountain 🏔️ = Fjord 🏞️
Steam 💨 + Steam 💨 = Cloud ☁️
